"year","Month","cases","autochthonous","imported"
2015,"January",1,1,0
2015,"February",7,7,0
2015,"March",6,6,0
2015,"April",5,5,0
2015,"May",8,8,0
2015,"June",8,8,0
2015,"July",11,11,0
2015,"August",2,2,0
2015,"September",13,13,0
2015,"October",13,13,0
2015,"November",11,11,0
2015,"December",7,7,0
2016,"January",16,16,0
2016,"February",5,5,0
2016,"March",6,6,0
2016,"April",1,1,0
2016,"May",2,2,0
2016,"June",2,2,0
2016,"July",1,1,0
2016,"August",2,2,0
2016,"September",12,12,0
2016,"October",7,7,0
2016,"November",8,8,0
2016,"December",4,4,0
2017,"January",5,5,0
2017,"February",4,4,0
2017,"March",13,13,0
2017,"April",2,2,0
2017,"May",7,7,0
2017,"June",11,11,0
2017,"July",9,9,0
2017,"August",14,14,0
2017,"September",17,17,0
2017,"October",3,3,0
2017,"November",5,5,0
2017,"December",5,5,0
2018,"January",4,4,0
2018,"February",3,3,0
2018,"March",3,3,0
2018,"April",1,1,0
2018,"May",6,6,0
2018,"June",8,8,0
2018,"July",12,12,0
2018,"August",18,18,0
2018,"September",12,12,0
2018,"October",1,1,0
2018,"November",8,8,0
2018,"December",14,14,0
2019,"January",9,9,0
2019,"February",9,9,0
2019,"March",14,14,0
2019,"April",7,7,0
2019,"May",11,11,0
2019,"June",7,7,0
2019,"July",25,25,0
2019,"August",5,5,0
2019,"September",25,25,0
2019,"October",13,13,0
2019,"November",9,9,0
2019,"December",8,8,0
2020,"January",13,13,0
2020,"February",4,4,0
2020,"March",0,0,0
2020,"April",0,0,0
2020,"May",2,2,0
2020,"June",0,0,0
2020,"July",2,2,0
2020,"August",21,1,11
2020,"September",2,1,1
2020,"October",0,0,0
2020,"November",0,0,0
2020,"December",0,0,0
2021,"January",0,0,0
2021,"February",0,0,0
2021,"March",0,0,0
2021,"April",0,0,0
2021,"May",0,0,0
2021,"June",1,1,0
2021,"July",4,4,0
2021,"August",0,0,0
2021,"September",3,3,0
2021,"October",2,2,0
2021,"November",0,0,0
2021,"December",1,1,0
2022,"January",0,0,0
2022,"February",1,1,1
2022,"March",4,4,4
2022,"April",9,9,9
2022,"May",7,7,7
2022,"June",9,9,9
2022,"July",25,25,25
2022,"August",33,33,33
2022,"September",2,2,2
2022,"October",6,6,6
2022,"November",0,0,0
2022,"December",0,0,0
2023,"January",12,12,0
2023,"February",6,6,0
2023,"March",4,4,0
2023,"April",10,10,0
2023,"May",9,9,0
2023,"June",10,10,0
2023,"July",25,24,0
2023,"August",121,32,89
2023,"September",82,22,60
2023,"October",49,23,26
2023,"November",30,5,25
2023,"December",19,0,19
2024,"January",43,0,43
2024,"February",32,0,32
2024,"March",45,0,45
